Total words,Number words male,Number words female,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
6394,2631,1512,2251,343,2,1995,5,142,51.5,42.33333333,46,65,Female
8780,5236,1524,2020,1219,9,2001,4,37,39.125,29.33333333,58,34,Male
4176,3079,155,942,787,7,1968,1,376,42.5,37,46,37,Male
9855,5342,1073,3440,2623,12,2002,2,19,35.22222222,21.5,33,23,Male
7688,2536,1317,3835,3149,8,1988,4,40,45.25,45,36,39,Male
5872,2889,1492,1491,994,11,1997,4,327,45.90909091,36.5,55,41,Male
5322,2631,1500,1191,287,6,1980,3,269,47,24.5,61,25,Male
6098,3057,349,2692,2472,9,1988,2,53,43,31,48,31,Male
8851,3952,857,4042,3476,13,2001,2,89,47.41666667,28.5,33,27,Male
9626,5403,2619,1604,869,9,1973,6,565,26.5,22,20,26,Male
12705,7024,759,4922,4163,12,2002,1,48,50.55555556,39,54,39,Male
12995,1333,4001,7661,3942,5,1977,3,152,41.6,39.33333333,42,31,Male
9925,5300,1141,3484,2920,6,1997,3,1,50.6,36.5,62,32,Male
5323,1481,1544,2298,1306,5,1997,4,102,41.8,39.5,34,32,Male
2081,1141,0,940,508,4,1999,1,351,48,29,29,57,Female
11729,4314,2417,4998,4273,8,1990,6,107,42,57.2,39,85,Male
4498,2947,832,719,200,11,1984,3,99,38.85714286,36.66666667,30,23,Male
11252,4164,3133,3955,1965,7,1995,5,131,32.28571429,34,30,29,Male
3918,456,846,2616,1770,4,1992,1,4,55,28,53,28,Male
11361,5453,1729,4179,2930,9,2000,3,3,36.71428571,39.33333333,40,29,Male
7344,2292,2680,2372,521,6,1992,2,247,41.5,31.5,48,34,Male
7018,2717,1188,3113,2036,5,1992,2,341,52,31,48,34,Male
2856,1720,0,1136,343,4,1989,1,550,53,36,36,38,Female
10592,2593,1605,6394,5475,7,2000,2,64,29.57142857,32,26,40,Male
3142,1420,519,1203,896,4,1996,2,124,50.66666667,34,34,34,Male
12199,6162,2492,3545,2439,16,1994,5,3,43.16666667,43,43,40,Male
8715,2101,2173,4441,3401,5,2003,4,95,49.2,39.66666667,32,37,Male
4862,2303,404,2155,1751,6,1989,1,99,50.83333333,36,45,36,Male
11295,5433,3167,2695,1770,13,2006,9,29,43,33.2,28,32,Male
9141,1788,3511,3842,2185,8,1993,6,27,44.2,40,38,35,Male
12844,7758,693,4393,565,11,1992,2,255,42,33.5,29,37,Female
13781,7646,2844,3291,1699,16,1990,4,32,48.14285714,40.75,34,33,Male
6641,888,2468,3285,1268,4,2010,4,73,41.33333333,52.33333333,41,41,Male
5683,3103,1024,1556,684,11,1995,2,151,44.2,29,41,29,Male
7346,3319,1154,2873,2323,10,1985,3,24,47.33333333,27,38,27,Male
7266,2693,1711,2862,1493,7,1999,3,28,40.71428571,37,35,31,Male
5675,1875,1412,2388,976,8,1996,1,138,44.375,26,42,26,Male
12798,2802,3214,6782,4436,6,2003,3,350,53.2,36.33333333,41,34,Male
7380,4909,695,1776,190,9,2008,3,73,50.8,46,51,47,Female
5675,922,719,4034,3471,4,2000,2,377,42.5,37,44,37,Male
9653,2978,3657,3018,1361,4,2004,5,56,43.5,34,38,41,Female
9531,3299,1953,4279,3350,11,2004,3,44,32,41.66666667,23,52,Male
12860,8683,733,3444,1848,16,2008,4,43,42.86666667,36.5,33,40,Female
9016,3959,2689,2368,1267,9,1999,7,98,31.875,41.71428571,24,24,Male
8112,801,605,6706,6101,5,1994,1,2,51.25,33,48,33,Male
4555,2903,470,1182,712,9,2002,1,59,46,38,55,38,Male
7729,2924,945,3860,3372,10,2005,2,102,39.66666667,37,41,45,Male
11547,6677,0,4870,3383,11,1997,1,191,48,35,35,28,Female
5927,3941,1003,983,483,10,2003,3,49,37.28571429,25.66666667,44,31,Male
1870,406,823,641,24,2,1996,2,35,41.5,21,34,21,Male
8963,4354,1810,2799,1421,6,2002,2,12,45.33333333,48.5,33,43,Male
2662,379,972,1311,694,3,2008,4,5,40,28,40,28,Male
10750,5805,1521,3424,2964,13,2008,6,34,41.75,28.75,40,26,Male
5345,3117,1070,1158,770,9,1989,3,60,44.44444444,39.66666667,32,27,Male
5183,1657,773,2753,2218,3,2007,2,101,34.33333333,41,21,40,Male
13269,7966,1525,3778,2462,12,1997,2,79,44.5,28,57,28,Male
5916,3114,1467,1335,158,8,1981,2,18,53.5,29,27,29,Male
12303,3516,2080,6707,5497,11,1991,3,72,38,33.5,32,30,Male
5596,2558,1261,1777,1070,9,1984,2,70,47.66666667,46.5,25,39,Male
4318,992,1388,1938,1399,4,1990,5,116,29.25,35.8,42,22,Female
7732,2090,4113,1529,101,6,2008,5,122,33.5,51.66666667,22,32,Male
6562,3468,612,2482,1029,9,2007,3,20,45.44444444,37.33333333,38,43,Female
4596,2635,885,1076,748,8,1996,4,49,52,33.33333333,45,31,Male
2656,729,269,1658,1509,4,1999,2,95,45.66666667,31.5,37,23,Male
4507,1169,1433,1905,1066,6,1997,4,212,40,30.5,33,41,Male
6348,1570,2152,2626,1788,3,1986,4,164,31.33333333,22.5,24,19,Male
7223,4853,262,2108,1846,13,1997,1,120,49.54545455,22,42,22,Male
10362,3405,1144,5813,4870,3,1999,2,63,39.33333333,31.5,30,33,Male
2750,1842,436,472,1,6,2000,2,86,31.4,28,24,22,Female
5747,708,802,4237,3574,5,1985,2,114,44.2,27,42,25,Male
20433,6188,5777,8468,3049,10,2002,2,27,35.16666667,23,24,23,Male
8989,1994,1549,5446,4495,5,1994,3,686,43.4,32,38,10,Male
5370,1919,2432,1019,68,7,1989,5,31,26.5,20.5,62,20,Male
12554,8257,1686,2611,925,13,2009,1,174,42.91666667,29,29,29,Male
8192,4104,1432,2656,1132,9,1997,3,91,34.44444444,47.66666667,35,39,Female
2066,1151,409,506,267,5,2009,2,23,32.4,37,32,44,Male
5309,2558,458,2293,1835,9,1997,1,23,46.14285714,27,25,27,Male
8553,5283,1419,1851,560,12,2002,2,116,42.9,30,53,30,Male
13304,5568,1835,5901,4063,7,2003,5,85,47.5,49,37,38,Female
6224,2693,2246,1285,444,8,1990,4,85,46.71428571,46.5,46,31,Male
6805,1667,1684,3454,2439,9,1997,5,53,43.57142857,41.33333333,31,27,Male
8802,856,2727,5219,2757,4,1993,3,148,34.25,43,43,35,Male
4650,2151,1552,947,241,6,1995,5,30,55.25,38.2,67,29,Male
7565,4792,686,2087,1401,9,1998,1,36,44.11111111,28,29,28,Male
3398,1362,142,1894,1752,6,1990,1,97,35,37,38,37,Male
10686,5716,868,4102,3701,14,2004,4,25,31.25,27.33333333,32,26,Male
16708,10544,2440,3724,2077,15,2002,5,392,37.06666667,34.4,13,12,Male
7907,4557,1582,1768,870,11,2001,3,488,31.7,40.33333333,12,11,Male
14717,8307,3213,3197,1108,15,2004,5,348,36.2,44.8,15,14,Male
4960,3124,1098,738,376,13,1995,4,134,42.2,33.66666667,55,31,Male
8611,4180,1999,2432,1230,6,2008,2,91,56.4,32,58,36,Male
5092,2052,1544,1496,741,4,1992,5,26,35.66666667,27.66666667,29,31,Female
8450,5661,654,2135,1481,11,2000,1,20,39.57142857,29,42,29,Male
8240,2897,1440,3903,3081,7,1997,5,2,35.66666667,31.5,35,29,Male
7577,3982,2252,1343,541,8,2003,3,18,49.625,43.33333333,32,31,Male
6992,2421,1008,3563,2964,12,2004,3,32,42.2,36,40,36,Male
